fixture_id,cohort,source_path,source_kind,prediction_scope,validation_tier,no_bet,freeze_id,kickoff_utc
1556540,STRICT_OWNER_APPROVED,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/day2_best_three.json,day_best_three,production,A,True,b21885a8-653d-46ec-b0e2-eaa4c008a684,2026-07-30T14:00:00+00:00
1494717,STRICT_OWNER_APPROVED,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/day3_best_three.json,day_best_three,owner_shadow,B,True,c7d08da4-fe5a-438b-80bb-c8066493cf34,2026-07-31T19:00:00+00:00
1556398,STRICT_OWNER_APPROVED,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/day3_best_three.json,day_best_three,owner_shadow,B,True,8434c2d2-e140-470e-9021-7c2e91ed5f52,2026-07-31T16:00:00+00:00
1556397,STRICT_OWNER_APPROVED,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/day3_best_three.json,day_best_three,owner_shadow,B,True,84334949-8ec3-4202-a4c3-e263339d0e72,2026-07-31T15:30:00+00:00
1554421,STRICT_OWNER_APPROVED,artifacts/today_balanced_odds_20260715/selected_top3.json,selected_top3,production,A,,,2026-07-15T18:30:00+00:00
1586077,STRICT_OWNER_APPROVED,artifacts/today_balanced_odds_20260715/selected_top3.json,selected_top3,production,A,,,2026-07-15T19:00:00+00:00
1554375,STRICT_OWNER_APPROVED,artifacts/today_balanced_odds_20260715/selected_top3.json,selected_top3,production,A,,,2026-07-15T18:15:00+00:00
1589421,STRICT_OWNER_APPROVED,artifacts/tomorrow_best_three_top10/2026-07-29/20260728T183838Z/selected_top3.json,selected_top3,production,A,True,aa2b8366-7125-4eb2-8594-30e67b16fa19,2026-07-29T18:00:00+00:00
1593514,STRICT_OWNER_APPROVED,artifacts/tomorrow_best_three_top10/2026-07-29/20260728T183838Z/selected_top3.json,selected_top3,production,A,True,8f0b4544-33bd-4435-947f-c7ea4aed3c41,2026-07-29T18:30:00+00:00
1556506,STRICT_OWNER_APPROVED,artifacts/tomorrow_best_three_top10/2026-07-29/20260728T183838Z/selected_top3.json,selected_top3,production,A,True,cf2762bb-fd99-43ce-855f-7dc4a5da9683,2026-07-29T18:00:00+00:00
1593478,STRICT_OWNER_APPROVED,artifacts/daily_pipeline/2026-07-23/esli_exact_combo/selected_top3.json,selected_top3,,,True,,
1593491,STRICT_OWNER_APPROVED,artifacts/daily_pipeline/2026-07-23/esli_exact_combo/selected_top3.json,selected_top3,,,True,,
1556516,STRICT_OWNER_APPROVED,artifacts/daily_pipeline/2026-07-23/esli_exact_combo/selected_top3.json,selected_top3,,,True,,
1556505,STRICT_OWNER_APPROVED,artifacts/mandatory_three_match_prediction_20260728/20260728T175722Z/freeze_selection.json,freeze_selection,,,,c5238e30-5b64-4798-a4fd-f60981f7a868,
1591937,STRICT_OWNER_APPROVED,artifacts/mandatory_three_match_prediction_20260728/20260728T175722Z/freeze_selection.json,freeze_selection,,,,0a75abbc-cc31-4ec4-8ac8-653e4f31e0ec,
1589425,STRICT_OWNER_APPROVED,artifacts/mandatory_three_match_prediction_20260728/20260728T175722Z/freeze_selection.json,freeze_selection,,,,e218f95d-d739-4384-a6cf-110dc569a827,
1556508,STRICT_OWNER_APPROVED,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_BETTABLE_CANDIDATE,production,A,False,ccd2a46d-abac-4474-9880-8d003e74db26,2026-07-29T17:00:00+00:00
1591938,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,production,A,True,990c5726-d260-4f3d-8c82-739cc59b72ed,2026-07-29T15:00:00+00:00
1591939,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,production,A,True,de942773-78b0-4c69-af90-b9139262631a,2026-07-29T16:00:00+00:00
1589422,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,production,A,True,1b22fc63-75a5-4375-935d-2a4c44242abc,2026-07-29T17:30:00+00:00
1591940,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,production,A,True,48cb5be5-5e81-482b-b1b2-22f8c76921c0,2026-07-29T17:30:00+00:00
1514246,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,owner_shadow,B,True,c91e18c4-87f9-4cdd-a584-3705865dc924,2026-07-29T19:15:00+00:00
1514247,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,owner_shadow,B,True,e86ab87c-513e-421e-a347-7159a3d1b477,2026-07-29T19:15:00+00:00
1556526,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,production,A,True,205c5b95-8511-4c9a-88e9-cd98efaf1640,2026-07-30T16:00:00+00:00
1556535,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,production,A,True,6ed76570-4dbb-4df8-aa93-b658d4063dc0,2026-07-30T16:00:00+00:00
1593506,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,production,A,True,12ff82db-497e-4be0-b4c6-acab387b34d0,2026-07-30T16:00:00+00:00
1593507,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,production,A,True,ca472923-9546-457c-af90-8daa971645c2,2026-07-30T16:00:00+00:00
1593511,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,production,A,True,0c81d119-e727-437a-8119-afdd2d688dc8,2026-07-30T16:00:00+00:00
1593518,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,production,A,True,de57f698-8bca-4c12-913b-6520e96fdc52,2026-07-30T16:00:00+00:00
1593510,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,production,A,True,b238f58b-5814-4c19-bd28-e3911b0d9e64,2026-07-30T16:30:00+00:00
1556538,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,production,A,True,df4d4ae4-b889-42cb-9105-1bdee11f88af,2026-07-30T17:00:00+00:00
1556549,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,production,A,True,96af41de-98df-4e8c-98c5-b533e7de869f,2026-07-30T17:00:00+00:00
1556550,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,production,A,True,8f7b9811-9975-4ff0-9b8d-2aa700f9d2ef,2026-07-30T17:00:00+00:00
1593527,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,production,A,True,c33948c1-bf2c-43aa-9e66-9b94fb9b99ce,2026-07-30T17:00:00+00:00
1593524,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,production,A,True,15025bcd-b337-42c4-b3cf-7583a912969e,2026-07-30T18:00:00+00:00
1593525,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,production,A,True,5f46fa02-0809-4b51-89db-4ce7dd71cbb3,2026-07-30T18:30:00+00:00
1556548,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,production,A,True,24d203e1-bb72-4e90-a773-763f83c882fa,2026-07-30T19:00:00+00:00
1494723,WATCHLIST_ONLY,artifacts/three_day_complete_predictions/2026-07-29_2026-07-31/20260728T222324Z/complete_predictions.json,betting_quality_WATCHLIST,owner_shadow,B,True,e11be693-573a-4688-b097-fe61765ca49e,2026-07-31T17:00:00+00:00
1494227,RESEARCH_APPROVED,artifacts/next_5_days_12_1x2_2_exact/2026-08-02_2026-08-06/20260801T213441Z/final_12_1x2.json,final_12_1x2,,,False,ea957992-e387-4514-9930-0bedf288b536,
1494227,RESEARCH_APPROVED,artifacts/next_5_days_12_1x2_2_exact/2026-08-02_2026-08-06/20260801T213441Z/ranked_1x2_candidates.json,ranked_1x2_research,,,False,ea957992-e387-4514-9930-0bedf288b536,
