sportmonks_fixture_id,bookmaker,market,label,selection_name,odds,implied_probability,timestamp,finished,league_id,season_id,mapping_confidence,reason
19609162,Bet365,Home First Goal Scorer,First,Javi Guerra,7.0,0.142857,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home First Goal Scorer,First,Jesus Rodriguez,5.0,0.2,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home First Goal Scorer,First,Gonzalo Garcia,4.5,0.222222,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home Last Goal Scorer,Last,Sergio Gomez,7.5,0.133333,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home Last Goal Scorer,Last,Marc Bernal,11.0,0.090909,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home Last Goal Scorer,Last,Benat Turrientes,13.0,0.076923,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home Last Goal Scorer,Last,Jon Martin,19.0,0.052632,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home Last Goal Scorer,Last,Javier Rodriguez,17.0,0.058824,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home Last Goal Scorer,Last,Pablo Martin Gavi,10.0,0.1,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home Last Goal Scorer,Last,Javi Guerra,7.0,0.142857,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home Last Goal Scorer,Last,Jesus Rodriguez,5.0,0.2,,True,732,,UNMAPPED,no_match
19609162,Bet365,Home Last Goal Scorer,Last,Gonzalo Garcia,4.5,0.222222,,True,732,,UNMAPPED,no_match
19609162,Betano,Away Anytime Goal Scorer,Anytime,Pico,21.0,0.047619,,True,732,,UNMAPPED,no_match
19609162,Betano,Away Anytime Goal Scorer,Anytime,Kevin Pina,26.0,0.038462,,True,732,,UNMAPPED,no_match
19609162,Betano,Away First Goal Scorer,First,Pico,50.0,0.02,,True,732,,UNMAPPED,no_match
19609162,Betano,Away First Goal Scorer,First,Kevin Pina,55.0,0.018182,,True,732,,UNMAPPED,no_match
19609162,Betano,Away Last Goal Scorer,Last,Pico,50.0,0.02,,True,732,,UNMAPPED,no_match
19609162,Betano,Away Last Goal Scorer,Last,Kevin Pina,65.0,0.015385,,True,732,,UNMAPPED,no_match
19609162,Betano,Home Anytime Goal Scorer,Anytime,Marc Bernal,6.3,0.15873,,True,732,,UNMAPPED,no_match
19609162,Betano,Home Anytime Goal Scorer,Anytime,Benat Turrientes,4.55,0.21978,,True,732,,UNMAPPED,no_match
19609162,Betano,Home Anytime Goal Scorer,Anytime,Javi Guerra,2.32,0.431034,,True,732,,UNMAPPED,no_match
19609162,Betano,Home Anytime Goal Scorer,Anytime,Sergio Gómez,9.0,0.111111,,True,732,,UNMAPPED,no_match
19609162,Betano,Home Anytime Goal Scorer,Anytime,Javi Rodriguez,9.5,0.105263,,True,732,,UNMAPPED,no_match
19609162,Betano,Home Anytime Goal Scorer,Anytime,Jon Martín,9.5,0.105263,,True,732,,UNMAPPED,no_match
19609162,Betano,Home Anytime Goal Scorer,Anytime,Jesus Rodriguez,3.0,0.333333,,True,732,,UNMAPPED,no_match
19609162,Betano,Home Anytime Goal Scorer,Anytime,Gonzalo Garcia,2.32,0.431034,,True,732,,UNMAPPED,no_match
19609162,Betano,Home First Goal Scorer,First,Marc Bernal,16.0,0.0625,,True,732,,UNMAPPED,no_match
19609162,Betano,Home First Goal Scorer,First,Benat Turrientes,11.75,0.085106,,True,732,,UNMAPPED,no_match
19609162,Betano,Home First Goal Scorer,First,Javi Guerra,5.6,0.178571,,True,732,,UNMAPPED,no_match
19609162,Betano,Home First Goal Scorer,First,Sergio Gómez,22.0,0.045455,,True,732,,UNMAPPED,no_match
19609162,Betano,Home First Goal Scorer,First,Javi Rodriguez,23.0,0.043478,,True,732,,UNMAPPED,no_match
19609162,Betano,Home First Goal Scorer,First,Jon Martín,23.0,0.043478,,True,732,,UNMAPPED,no_match
19609162,Betano,Home First Goal Scorer,First,Jesus Rodriguez,7.5,0.133333,,True,732,,UNMAPPED,no_match
19609162,Betano,Home First Goal Scorer,First,Gonzalo Garcia,5.6,0.178571,,True,732,,UNMAPPED,no_match
19609162,Betano,Home Last Goal Scorer,Last,Marc Bernal,16.5,0.060606,,True,732,,UNMAPPED,no_match
19609162,Betano,Home Last Goal Scorer,Last,Benat Turrientes,11.75,0.085106,,True,732,,UNMAPPED,no_match
