symbol,side,opened_at,closed_at,lot,pnl,close_reason,loss_streak_after
USDJPY,BUY,2026-04-02T07:22:00.076000,2026-04-02T07:22:30.978000,0.02,0.0,time_exit,1
USDJPY,BUY,2026-04-02T07:23:00.389000,2026-04-02T07:23:31.298000,0.02,0.012532741787980787,time_exit,0
USDJPY,BUY,2026-04-02T07:24:00.023000,2026-04-02T07:24:15.329000,0.01,-0.27530344736912404,stop_loss,1
USDJPY,BUY,2026-04-02T07:24:30.824000,2026-04-02T07:25:02.333000,0.02,-0.2256162142852752,time_exit,2
USDJPY,BUY,2026-04-02T07:25:30.158000,2026-04-02T07:26:00.187000,0.04,0.4949168918712349,time_exit,0
USDJPY,BUY,2026-04-02T07:26:30.086000,2026-04-02T07:27:00.249000,0.01,0.08142455388742885,time_exit,0
USDJPY,BUY,2026-04-02T07:27:30.728000,2026-04-02T07:28:01.129000,0.01,-0.0062635449159105,time_exit,1
USDJPY,BUY,2026-04-02T07:28:31.061000,2026-04-02T07:29:01.802000,0.02,0.2254749065218702,time_exit,0
USDJPY,BUY,2026-04-02T07:29:30.309000,2026-04-02T07:30:00.502000,0.01,0.07513665479090381,time_exit,0
USDJPY,BUY,2026-04-02T07:30:30.089000,2026-04-02T07:31:00.867000,0.01,-0.06264329654095824,time_exit,1
USDJPY,BUY,2026-04-02T07:32:30.334000,2026-04-02T07:33:00.937000,0.02,-0.037581269495463,time_exit,2
USDJPY,BUY,2026-04-02T07:33:30.285000,2026-04-02T07:34:00.439000,0.04,-0.2254720821724123,time_exit,3
USDJPY,BUY,2026-04-02T07:34:30.468000,2026-04-02T07:35:00.665000,0.08,-0.4509837082128457,time_exit,3
USDJPY,BUY,2026-04-02T07:36:00.120000,2026-04-02T07:36:30.296000,0.08,-0.40091207497104797,time_exit,3
USDJPY,BUY,2026-04-02T07:37:00.276000,2026-04-02T07:37:30.672000,0.08,-0.10022236837889707,time_exit,3
USDJPY,BUY,2026-04-02T07:40:03.914000,2026-04-02T07:40:36.966000,0.08,-0.4510599909795295,time_exit,3
USDJPY,BUY,2026-04-02T07:43:04.605000,2026-04-02T07:43:34.764000,0.08,-0.4009371906822876,time_exit,3
USDJPY,BUY,2026-04-02T07:44:02.751000,2026-04-02T07:44:33.137000,0.08,-0.10023178600561547,time_exit,3
USDJPY,BUY,2026-04-02T07:45:00.076000,2026-04-02T07:45:15.853000,0.08,0.501104936686975,stop_loss,0
USDJPY,BUY,2026-04-02T07:45:30.100000,2026-04-02T07:45:54.291000,0.01,-0.24590615426054968,stop_loss,1
USDJPY,BUY,2026-04-02T07:47:00.084000,2026-04-02T07:47:41.547000,0.02,-0.02505920236535224,time_exit,2
USDJPY,BUY,2026-04-02T07:48:00.333000,2026-04-02T07:48:30.484000,0.04,-0.4009648216017575,time_exit,3
USDJPY,BUY,2026-04-02T08:02:00.076000,2026-04-02T08:02:33.255000,0.08,0.6139302068025045,time_exit,0
USDJPY,BUY,2026-04-02T08:03:05.142000,2026-04-02T08:03:36.692000,0.01,-0.025060301350065328,time_exit,1
USDJPY,BUY,2026-04-02T08:04:00.603000,2026-04-02T08:04:31.732000,0.02,0.012528423861695908,time_exit,0
