fixture_id,competition_key,season,home_team,away_team,home_goals,away_goals,priority_rank,has_sqlite_events,has_egie_events,has_cache_events,has_enrichment_events
1049077,bundesliga,2023,FC Heidenheim,Bayer Leverkusen,1,2,99,0,0,0,1
1049076,bundesliga,2023,Vfl Bochum,Bayern Munich,3,2,99,0,0,0,1
1049075,bundesliga,2023,1899 Hoffenheim,Union Berlin,0,1,99,0,0,0,1
1049074,bundesliga,2023,1. FC Köln,Werder Bremen,0,1,99,0,0,0,1
1049073,bundesliga,2023,FSV Mainz 05,FC Augsburg,1,0,99,0,0,0,1
1049072,bundesliga,2023,VfL Wolfsburg,Borussia Dortmund,1,1,99,0,0,0,1
1049071,bundesliga,2023,SC Freiburg,Eintracht Frankfurt,3,3,99,0,0,0,1
1049070,bundesliga,2023,RB Leipzig,Borussia Monchengladbach,2,0,99,0,0,0,1
1049069,bundesliga,2023,VfB Stuttgart,FSV Mainz 05,3,1,99,0,0,0,1
1049068,bundesliga,2023,FC Augsburg,RB Leipzig,2,2,99,0,0,0,1
1049067,bundesliga,2023,Werder Bremen,FC Heidenheim,1,2,99,0,0,0,1
1049066,bundesliga,2023,1899 Hoffenheim,1. FC Köln,1,1,99,0,0,0,1
1049064,bundesliga,2023,Eintracht Frankfurt,Vfl Bochum,1,1,99,0,0,0,1
1049063,bundesliga,2023,Bayer Leverkusen,Bayern Munich,3,0,99,0,0,0,1
1049062,bundesliga,2023,Union Berlin,VfL Wolfsburg,1,0,99,0,0,0,1
1049061,bundesliga,2023,Borussia Dortmund,SC Freiburg,3,0,99,0,0,0,1
1049060,bundesliga,2023,SV Darmstadt 98,Bayer Leverkusen,0,2,99,0,0,0,1
1049058,bundesliga,2023,Vfl Bochum,FC Augsburg,1,1,99,0,0,0,1
1049057,bundesliga,2023,1. FC Köln,Eintracht Frankfurt,2,0,99,0,0,0,1
1049056,bundesliga,2023,FSV Mainz 05,Werder Bremen,0,1,99,0,0,0,1
1049055,bundesliga,2023,VfL Wolfsburg,1899 Hoffenheim,2,2,99,0,0,0,1
1049054,bundesliga,2023,SC Freiburg,VfB Stuttgart,1,3,99,0,0,0,1
1049053,bundesliga,2023,RB Leipzig,Union Berlin,2,0,99,0,0,0,1
1049052,bundesliga,2023,Bayern Munich,Borussia Monchengladbach,3,1,99,0,0,0,1
1049051,bundesliga,2023,VfB Stuttgart,RB Leipzig,5,2,99,0,0,0,1
1049050,bundesliga,2023,FC Augsburg,Bayern Munich,2,3,99,0,0,0,1
1049049,bundesliga,2023,Werder Bremen,SC Freiburg,3,1,99,0,0,0,1
1049048,bundesliga,2023,1899 Hoffenheim,FC Heidenheim,1,1,99,0,0,0,1
1049047,bundesliga,2023,VfL Wolfsburg,1. FC Köln,1,1,99,0,0,0,1
1049046,bundesliga,2023,Eintracht Frankfurt,FSV Mainz 05,1,0,99,0,0,0,1
1049044,bundesliga,2023,Union Berlin,SV Darmstadt 98,1,0,99,0,0,0,1
1049043,bundesliga,2023,Borussia Dortmund,Vfl Bochum,3,1,99,0,0,0,1
1049042,bundesliga,2023,SV Darmstadt 98,Eintracht Frankfurt,2,2,99,0,0,0,1
1049041,bundesliga,2023,FC Heidenheim,VfL Wolfsburg,1,1,99,0,0,0,1
1049040,bundesliga,2023,Vfl Bochum,VfB Stuttgart,1,0,99,0,0,0,1
1049039,bundesliga,2023,1. FC Köln,Borussia Dortmund,0,4,99,0,0,0,1
1049038,bundesliga,2023,Borussia Monchengladbach,FC Augsburg,1,2,99,0,0,0,1
1049037,bundesliga,2023,FSV Mainz 05,Union Berlin,1,1,99,0,0,0,1
1049036,bundesliga,2023,SC Freiburg,1899 Hoffenheim,3,2,99,0,0,0,1
1049035,bundesliga,2023,RB Leipzig,Bayer Leverkusen,2,3,99,0,0,0,1
1049034,bundesliga,2023,Bayern Munich,Werder Bremen,0,1,99,0,0,0,1
1049033,bundesliga,2023,SV Darmstadt 98,Borussia Dortmund,0,3,99,0,0,0,1
1049032,bundesliga,2023,FC Augsburg,Bayer Leverkusen,0,1,99,0,0,0,1
1049031,bundesliga,2023,Vfl Bochum,Werder Bremen,1,1,99,0,0,0,1
1049030,bundesliga,2023,1. FC Köln,FC Heidenheim,1,1,99,0,0,0,1
1049029,bundesliga,2023,Borussia Monchengladbach,VfB Stuttgart,3,1,99,0,0,0,1
1049028,bundesliga,2023,FSV Mainz 05,VfL Wolfsburg,1,1,99,0,0,0,1
1049026,bundesliga,2023,RB Leipzig,Eintracht Frankfurt,0,1,99,0,0,0,1
1049025,bundesliga,2023,Bayern Munich,1899 Hoffenheim,3,0,99,0,0,0,1
1049024,bundesliga,2023,FC Heidenheim,SC Freiburg,3,2,99,0,0,0,1
1049023,bundesliga,2023,VfB Stuttgart,FC Augsburg,3,0,99,0,0,0,1
1049022,bundesliga,2023,Werder Bremen,RB Leipzig,1,1,99,0,0,0,1
1049021,bundesliga,2023,1899 Hoffenheim,SV Darmstadt 98,3,3,99,0,0,0,1
1049020,bundesliga,2023,VfL Wolfsburg,Bayern Munich,1,2,99,0,0,0,1
1049019,bundesliga,2023,Eintracht Frankfurt,Borussia Monchengladbach,2,1,99,0,0,0,1
1049018,bundesliga,2023,Bayer Leverkusen,Vfl Bochum,4,0,99,0,0,0,1
1049017,bundesliga,2023,Union Berlin,1. FC Köln,2,0,99,0,0,0,1
1049016,bundesliga,2023,Borussia Dortmund,FSV Mainz 05,1,1,99,0,0,0,1
1049015,bundesliga,2023,SV Darmstadt 98,VfL Wolfsburg,0,1,99,0,0,0,1
1049014,bundesliga,2023,FC Augsburg,Borussia Dortmund,1,1,99,0,0,0,1
1049013,bundesliga,2023,Vfl Bochum,Union Berlin,3,0,99,0,0,0,1
1049012,bundesliga,2023,Borussia Monchengladbach,Werder Bremen,2,2,99,0,0,0,1
1049011,bundesliga,2023,FSV Mainz 05,FC Heidenheim,0,1,99,0,0,0,1
1049010,bundesliga,2023,Bayer Leverkusen,Eintracht Frankfurt,3,0,99,0,0,0,1
1049009,bundesliga,2023,SC Freiburg,1. FC Köln,2,0,99,0,0,0,1
1049008,bundesliga,2023,RB Leipzig,1899 Hoffenheim,3,1,99,0,0,0,1
1049007,bundesliga,2023,Bayern Munich,VfB Stuttgart,3,0,99,0,0,0,1
1049006,bundesliga,2023,FC Heidenheim,SV Darmstadt 98,3,2,99,0,0,0,1
1049005,bundesliga,2023,VfB Stuttgart,Bayer Leverkusen,1,1,99,0,0,0,1
1049004,bundesliga,2023,Werder Bremen,FC Augsburg,2,0,99,0,0,0,1
1049003,bundesliga,2023,1899 Hoffenheim,Vfl Bochum,3,1,99,0,0,0,1
1049001,bundesliga,2023,VfL Wolfsburg,SC Freiburg,0,1,99,0,0,0,1
1049000,bundesliga,2023,Eintracht Frankfurt,Bayern Munich,5,1,99,0,0,0,1
1048999,bundesliga,2023,Union Berlin,Borussia Monchengladbach,3,1,99,0,0,0,1
1048998,bundesliga,2023,Borussia Dortmund,RB Leipzig,2,3,99,0,0,0,1
1048997,bundesliga,2023,SV Darmstadt 98,1. FC Köln,0,1,99,0,0,0,1
1048996,bundesliga,2023,VfB Stuttgart,Werder Bremen,2,0,99,0,0,0,1
